Price,Address,City,Bedrooms,Baths,Area,Type
40000000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
29500000,"Swiss Farms, Bedian Road",Lahore,1,1,4.00 Kanal,Farm House
70000000,"Swiss Farms, Bedian Road",Lahore,6,6,4.00 Kanal,Farm House
44000000,"Barki Road, Cantt",Lahore,4,5,8.00 Kanal,Farm House
4400000,"Bedian, Bedian Road",Lahore,3,4,1.00 Kanal,Farm House
12000000,"Bedian Road, Lahore",Lahore,1,1,4.00 Kanal,Farm House
30000000,"Barki Road, Cantt",Lahore,5,6,3.00 Kanal,Farm House
67500000,"Bedian Road, Lahore",Lahore,1,1,9.00 Kanal,Farm House
75000000,"Bedian Road, Lahore",Lahore,2,2,8.00 Kanal,Farm House
4500000,"Bedian Road, Lahore",Lahore,1,2,1.00 Kanal,Farm House
33000000,"Bedian Road, Lahore",Lahore,2,2,3.00 Kanal,Farm House
72500000,"Bedian Road, Lahore",Lahore,4,5,3.60 Kanal,Farm House
55000000,"Bedian Road, Lahore",Lahore,2,3,4.00 Kanal,Farm House
190000000,"Barki Road, Cantt",Lahore,6,7,10.00 Kanal,Farm House
62500000,"Barki Road, Cantt",Lahore,3,5,2.50 Kanal,Farm House
28000000,"Barki Road, Cantt",Lahore,4,4,2.00 Kanal,Farm House
190000000,"Barki Road, Cantt",Lahore,5,6,9.55 Kanal,Farm House
14200000,"Irrigation Cooperative Housing Society, Lahore",Lahore,1,1,1.10 Kanal,Farm House
130000000,"Spring Meadows, Bedian Road",Lahore,3,3,8.00 Kanal,Farm House
130000000,"Bedian Road, Lahore",Lahore,4,5,8.00 Kanal,Farm House
280000000,"Bedian Road, Lahore",Lahore,5,6,16.00 Kanal,Farm House
45000000,"Bedian Road, Lahore",Lahore,4,4,6.00 Kanal,Farm House
7500000,"Swiss Farms, Bedian Road",Lahore,1,1,1.00 Kanal,Farm House
58000000,"Bedian Road, Lahore",Lahore,2,3,4.00 Kanal,Farm House
50000000,"GT Road, Lahore",Lahore,4,2,7.00 Kanal,Farm House
280000000,"Swiss Farms, Bedian Road",Lahore,6,6,16.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,6,6,8.00 Kanal,Farm House
16000000,"Bedian Road, Lahore",Lahore,2,1,5.25 Kanal,Farm House
75000000,"Bedian Road, Lahore",Lahore,4,5,8.00 Kanal,Farm House
40000000,"Bedian Road, Lahore",Lahore,2,3,8.00 Kanal,Farm House
60000000,"Swiss Farms, Bedian Road",Lahore,1,3,4.00 Kanal,Farm House
75000000,"Swiss Farms, Bedian Road",Lahore,1,1,4.00 Kanal,Farm House
40000000,"Bedian Road, Lahore",Lahore,3,2,8.00 Kanal,Farm House
87500000,"Barki Road, Cantt",Lahore,4,4,3.50 Kanal,Farm House
140000000,"Barki Road, Cantt",Lahore,4,5,24.00 Kanal,Farm House
50000000,"Sue-e-Asal, Lahore",Lahore,1,3,4.00 Kanal,Farm House
27000000,"Barki Road, Cantt",Lahore,2,2,4.00 Kanal,Farm House
7000000,"Bedian Road, Lahore",Lahore,1,1,1.00 Kanal,Farm House
72500000,"Bedian Road, Lahore",Lahore,5,6,4.00 Kanal,Farm House
117000000,"Barki Road, Cantt",Lahore,2,3,6.00 Kanal,Farm House
135000000,"Barki Road, Cantt",Lahore,3,4,10.00 Kanal,Farm House
52500000,"Ferozepur Road, Lahore",Lahore,3,3,4.00 Kanal,Farm House
30000000,"Swiss Farms, Bedian Road",Lahore,1,1,4.00 Kanal,Farm House
26000000,"Bedian Road, Lahore",Lahore,1,1,4.00 Kanal,Farm House
580000000,"Bedian Road, Lahore",Lahore,7,6,48.00 Kanal,Farm House
70000000,"Swiss Farms, Bedian Road",Lahore,4,5,3.50 Kanal,Farm House
70000000,"Bedian Road, Lahore",Lahore,5,5,4.00 Kanal,Farm House
118000000,"Bedian Road, Lahore",Lahore,3,4,10.00 Kanal,Farm House
38000000,"Bedian Road, Lahore",Lahore,4,4,4.50 Kanal,Farm House
33000000,"Bedian Road, Lahore",Lahore,2,3,3.00 Kanal,Farm House
77500000,"Bedian Road, Lahore",Lahore,5,5,4.00 Kanal,Farm House
17000000,"Chinar Bagh, Lahore",Lahore,1,2,1.00 Kanal,Farm House
120000000,"Sofia Farm Houses, Bedian Road",Lahore,5,6,6.00 Kanal,Farm House
157000000,"Barki Road, Cantt",Lahore,4,4,12.00 Kanal,Farm House
